== Output:

gameoflife, simple, cpp, 0.097 sec
gameoflife, complex, cpp, 0.051 sec
gameoflife, single, cpy_cython, 0.070 sec
gameoflife, simple, cpy_cython, 1.186 sec
gameoflife, complex, cpy_cython, 14.093 sec
gameoflife, single, cpy_swig, 0.076 sec
gameoflife, simple, cpy_swig, 1.257 sec
gameoflife, complex, cpy_swig, 14.178 sec
gameoflife, single, cpy_manual, 0.072 sec
gameoflife, simple, cpy_manual, 1.314 sec
gameoflife, complex, cpy_manual, 14.479 sec
gameoflife, single, cpy_cffi, 0.070 sec
gameoflife, simple, cpy_cffi, 3.621 sec
gameoflife, complex, cpy_cffi, 20.372 sec
gameoflife, single, cpy_nanobind, 0.071 sec
gameoflife, simple, cpy_nanobind, 1.406 sec
gameoflife, complex, cpy_nanobind, 15.210 sec
gameoflife, single, cpy_pybind11, 0.072 sec
gameoflife, simple, cpy_pybind11, 2.814 sec
gameoflife, complex, cpy_pybind11, 18.863 sec
gameoflife, single, cpy_cppyy, 0.071 sec
gameoflife, simple, cpy_cppyy, 1.740 sec
gameoflife, complex, cpy_cppyy, 15.728 sec
gameoflife, single, pypy_cffi, 0.073 sec
gameoflife, simple, pypy_cffi, 0.211 sec
gameoflife, complex, pypy_cffi, 1.112 sec
mandelbrot, single, cpp, 0.357 sec
mandelbrot, simple, cpp, 0.370 sec
mandelbrot, complex, cpp, 0.400 sec
mandelbrot, single, cpy_cython, 0.404 sec
mandelbrot, simple, cpy_cython, 0.813 sec
mandelbrot, complex, cpy_cython, 0.942 sec
mandelbrot, single, cpy_swig, 0.329 sec
mandelbrot, simple, cpy_swig, 0.847 sec
mandelbrot, complex, cpy_swig, 1.103 sec
mandelbrot, single, cpy_manual, 0.363 sec
mandelbrot, simple, cpy_manual, 0.755 sec
mandelbrot, complex, cpy_manual, 1.091 sec
mandelbrot, single, cpy_cffi, 0.440 sec
mandelbrot, simple, cpy_cffi, 1.598 sec
mandelbrot, complex, cpy_cffi, 2.406 sec
mandelbrot, single, cpy_nanobind, 0.597 sec
mandelbrot, simple, cpy_nanobind, 1.104 sec
mandelbrot, complex, cpy_nanobind, 1.315 sec
mandelbrot, single, cpy_pybind11, 0.629 sec
mandelbrot, simple, cpy_pybind11, 1.768 sec
mandelbrot, complex, cpy_pybind11, 2.313 sec
mandelbrot, single, cpy_cppyy, 0.348 sec
mandelbrot, simple, cpy_cppyy, 1.899 sec
mandelbrot, complex, cpy_cppyy, 2.787 sec
mandelbrot, single, pypy_cffi, 0.518 sec
mandelbrot, simple, pypy_cffi, 0.946 sec
mandelbrot, complex, pypy_cffi, 1.224 sec
gameoflife, single, cpp, 0.072 sec
gameoflife, simple, cpp, 0.072 sec
gameoflife, complex, cpp, 0.052 sec
gameoflife, single, cpy_cython, 0.077 sec
gameoflife, simple, cpy_cython, 1.253 sec
gameoflife, complex, cpy_cython, 14.326 sec
gameoflife, single, cpy_swig, 0.070 sec
gameoflife, simple, cpy_swig, 1.259 sec
gameoflife, complex, cpy_swig, 14.893 sec
gameoflife, single, cpy_manual, 0.071 sec
gameoflife, simple, cpy_manual, 1.315 sec
gameoflife, complex, cpy_manual, 14.763 sec
gameoflife, single, cpy_cffi, 0.073 sec
gameoflife, simple, cpy_cffi, 3.645 sec
gameoflife, complex, cpy_cffi, 20.789 sec
gameoflife, single, cpy_nanobind, 0.075 sec
gameoflife, simple, cpy_nanobind, 1.467 sec
gameoflife, complex, cpy_nanobind, 14.221 sec
gameoflife, single, cpy_pybind11, 0.070 sec
gameoflife, simple, cpy_pybind11, 2.925 sec
gameoflife, complex, cpy_pybind11, 19.312 sec
gameoflife, single, cpy_cppyy, 0.073 sec
gameoflife, simple, cpy_cppyy, 1.877 sec
gameoflife, complex, cpy_cppyy, 15.344 sec
gameoflife, single, pypy_cffi, 0.070 sec
gameoflife, simple, pypy_cffi, 0.209 sec
gameoflife, complex, pypy_cffi, 1.078 sec

== Data:

{'gameoflife': {'complex': {'cpp': [0.052, 0.052, 0.051, 0.051, 0.052],
                            'cpy_cffi': [21.531, 20.39, 20.65, 20.372, 20.789],
                            'cpy_cppyy': [15.106,
                                          14.984,
                                          15.617,
                                          15.728,
                                          15.344],
                            'cpy_cython': [13.797,
                                           14.31,
                                           14.38,
                                           14.093,
                                           14.326],
                            'cpy_manual': [14.815,
                                           14.144,
                                           14.671,
                                           14.479,
                                           14.763],
                            'cpy_nanobind': [14.753,
                                             14.167,
                                             14.279,
                                             15.21,
                                             14.221],
                            'cpy_pybind11': [19.028,
                                             19.103,
                                             19.016,
                                             18.863,
                                             19.312],
                            'cpy_swig': [14.807,
                                         13.656,
                                         13.934,
                                         14.178,
                                         14.893],
                            'pypy_cffi': [1.085, 1.108, 1.073, 1.112, 1.078]},
                'simple': {'cpp': [0.071, 0.095, 0.096, 0.097, 0.072],
                           'cpy_cffi': [3.93, 3.76, 3.763, 3.621, 3.645],
                           'cpy_cppyy': [1.693, 1.746, 1.638, 1.74, 1.877],
                           'cpy_cython': [1.122, 1.09, 1.279, 1.186, 1.253],
                           'cpy_manual': [1.547, 1.403, 1.363, 1.314, 1.315],
                           'cpy_nanobind': [1.481, 1.364, 1.457, 1.406, 1.467],
                           'cpy_pybind11': [2.844, 2.826, 2.834, 2.814, 2.925],
                           'cpy_swig': [1.311, 1.239, 1.278, 1.257, 1.259],
                           'pypy_cffi': [0.213, 0.209, 0.21, 0.211, 0.209]},
                'single': {'cpp': [0.093, 0.071, 0.071, 0.071, 0.072],
                           'cpy_cffi': [0.071, 0.069, 0.069, 0.07, 0.073],
                           'cpy_cppyy': [0.073, 0.071, 0.071, 0.071, 0.073],
                           'cpy_cython': [0.07, 0.076, 0.07, 0.07, 0.077],
                           'cpy_manual': [0.072, 0.07, 0.069, 0.072, 0.071],
                           'cpy_nanobind': [0.077, 0.071, 0.076, 0.071, 0.075],
                           'cpy_pybind11': [0.077, 0.071, 0.069, 0.072, 0.07],
                           'cpy_swig': [0.078, 0.072, 0.071, 0.076, 0.07],
                           'pypy_cffi': [0.071, 0.07, 0.07, 0.073, 0.07]}},
 'mandelbrot': {'complex': {'cpp': [0.329, 0.327, 0.327, 0.356, 0.4],
                            'cpy_cffi': [2.503, 2.379, 2.502, 2.39, 2.406],
                            'cpy_cppyy': [2.634, 2.632, 2.696, 2.645, 2.787],
                            'cpy_cython': [0.973, 0.956, 0.946, 0.965, 0.942],
                            'cpy_manual': [1.082, 1.078, 1.147, 1.105, 1.091],
                            'cpy_nanobind': [1.315, 1.308, 1.336, 1.33, 1.315],
                            'cpy_pybind11': [2.295, 2.261, 2.332, 2.286, 2.313],
                            'cpy_swig': [1.12, 1.064, 1.116, 1.109, 1.103],
                            'pypy_cffi': [1.17, 1.181, 1.175, 1.181, 1.224]},
                'simple': {'cpp': [0.351, 0.346, 0.331, 0.361, 0.37],
                           'cpy_cffi': [1.696, 1.631, 1.655, 1.657, 1.598],
                           'cpy_cppyy': [1.88, 1.954, 1.932, 1.946, 1.899],
                           'cpy_cython': [0.748, 0.715, 0.726, 0.736, 0.813],
                           'cpy_manual': [0.783, 0.789, 0.756, 0.796, 0.755],
                           'cpy_nanobind': [1.099, 1.11, 1.115, 1.088, 1.104],
                           'cpy_pybind11': [1.778, 1.734, 1.753, 1.772, 1.768],
                           'cpy_swig': [0.887, 0.934, 0.885, 0.897, 0.847],
                           'pypy_cffi': [0.891, 0.892, 0.882, 0.889, 0.946]},
                'single': {'cpp': [0.345, 0.351, 0.35, 0.345, 0.357],
                           'cpy_cffi': [0.436, 0.439, 0.441, 0.442, 0.44],
                           'cpy_cppyy': [0.35, 0.351, 0.343, 0.364, 0.348],
                           'cpy_cython': [0.396, 0.384, 0.389, 0.394, 0.404],
                           'cpy_manual': [0.394, 0.346, 0.351, 0.346, 0.363],
                           'cpy_nanobind': [0.601, 0.602, 0.593, 0.617, 0.597],
                           'cpy_pybind11': [0.654, 0.629, 0.642, 0.633, 0.629],
                           'cpy_swig': [0.334, 0.332, 0.335, 0.332, 0.329],
                           'pypy_cffi': [0.455, 0.454, 0.453, 0.463, 0.518]}}}
